Suquelish Dykailum 
Nangurneer Performer:
Nanpirey Country:
Nant Food:
Nantalovay Eliminate:
Nar Nor:
Narjan Margin:
Narm Norm:
Narn Save:
Narroy Narrate:
Nartz Zone:
Narxt Text:
Narxtoar Textbook:
Narysh Evil:
Narysh Gather:
Nate Rate:
Natess Bond:
Natessor Glue:
Natravvig Maternal:
Natsoy Sticky:
Natteer Prevent:
Natteershin Prevention:
Naygrip Pigeon:
Naynsoeshin Population:
Naynsojun Popular:
Naynsojuny Popularity:
Naynz Mass:
Naypard Forgive:
Naysh Strip:
Naytame Wild:
Neam Seam:
Neann Remain:
Neannig Remaining:
Neannor Remainder:
Neblamot Arsenal:
Nedri Cycle
Neech Cane:
Neechan Chimney:
Neek Keen:
Neekah Oppose:
Neekahshin Opposition:
Neekahshite Opposite:
Neekoesh: Absence:
Neekoet: Absent: 
Nefad Inherit:
Nefaddase Inheritance:
Nefarune Intention:
Neffarru Imminent:
Neffrut Kidney:
Nejeeb Engine:
Nejeeb Motor:
Neke Shade:
Nekum Collar:
Nelj Slice:
Neljure Sculpture:
Nelt Not:
Nemblot Attempt:
Neminneer Seamstress:
Neminneer Tailor:
Nemit Attain:
Nemvaheno Interfere:
Nerboe Number:
Nerboesvet Numerous:
Nerbrillepoin Calculation:
Nerbrillet Calculate:
Nerflay Dinner:
Nerflay Supply:
Nerflaymont Supplement:
Nerflaymontoy Supplementary:
Nerk Gland:
Nerquim Calander:
Nethi Ozone:
Netrel Pocket:
Netreltoar Pocketbook:
newtat Afresh:
Nexbow Elbow:
nexten Arm:
Niamontah Ammonia:
Niamputa Arnica:
Nibsoon Salad:
Nibsune Scandal:
Nidzkail Translate:
Nidzkaileer Translator:
Nidzkailshin Translation:
Nidzmusshon Transmission:
Nidznarshin Transition:
Nidznart Transit:
Niff Rough:
Niff Sneeze:
Niffnig Sneezing:
Nifirch Tree:
Nigak Dark:
Nigak Somber:
Nigaken Darken:
Nigaknoss Darkness:
Nij Rock:
Nijjee Rocky:
Niktar Obey:
Niktaront Obedient:
Niktaronz Obedience:
Nim Dim:
Nimahj Fever:
Nimahjith Feverish:
Nime Vague:
Nimnolish Diminsh:
Nindoy Inside:
Ninjorin Assassin:
Ninjorygorin Assassination:
 Ninjorykate Assassinate
 Ninkognat Intellect:
Ninkohnatase Intelligence:
Ninnote Into:
Ninore Inner:
Ninort Insight:
Ninthap Instep:
Nipolli Category:
Nippan Japan:
Nippanian Japanese:
Nire Field:
Niremel Habit:
Niremelial Habitual:
Nirune Guest:
Nobersh Combine:
Nobershahnan Combination:
Nobershnig Combining:
Nobersht Combined:
Noesh Fame:
Noeshees Famous:
Nofram: Abstract:
Nogahpant Armament:
Nogahteer Volunteer:
Nogahtury Voluntary:
Nogalt Reject:
Nogalt Revoke:
Nogdelt Armpit:
Nogor Armor:
Nogori Armory:
Noke None:
Nolf Pea:
Noot Forge:
Norjahd Pardon:
Norkail Syllable:
Norst Sort:
Nosel Fresh:
Nossin Pension:
Nossive Pensive:
Nox Ant:
Noy On:
Noymordat Nobody:
Noyoth Nothing:
Noyplur No-one:
Noythilla Nowhere:
Nuff Off:
Nuffolia Posterity:
Nufraji Factory:
Numbrody Quantity:
Numsu Many:
nurbin Almond:
Nutrogin Vitamin:
Nwok No
Nyol Commit:
Nyoleen Commission:
Nyoltee Committee:
Nysarn Harbor:
Nytess Bind:
O
Obalk Arrear:
Obbioos Obvious:
Obbioosly Obviously:
Oblernavee: Accompany: 
Obstroll Exact:
Obstrolly Exactly:
Obtrollnig Exacting:
Ode Do:
Ode’nt Don’t:
Odenig Doing:
Oetromeern Tomorrow:
Ofari Truth:
Ofariffil Truthful:
Ofarst Trust:
Ofarstfrejji Trustworthy:
Ohg At:
ohjinn Again:
Ohjinst Against:
Ohvay Away:
Oibem Assess:
Oibemant Assessment:
Oichent Antique:
Oidem Ancient:
Oin’Ofari Untrue:
Oinbahjorbeo Unbearable:
Oinbahtowed Unprotected:
Oinbateen Uncertain:
Oinbatin Unbutton:
Oinblyquinnt Unquestioned:
Oinbordosh Unaffected:
Oinbrookuff Unlock:
Oinbrookuft Unlocked:
Oinchentreo Antiquity:
Oindall Unwell:
Oindellnig Unwilling:
Oindellniggeo Unwillingly:
Oindinooyoe Unsociable:
Oindinrooly Unfriendly:
Oinditrahlayed Unoccupied:
Oindomaytid Undecided:
Oindrawzennave Unattractive:
Oinefarunalli Unintentionally:
Oinelzen Unaware:
Oineppsnig Unfeeling:
Oinfamrisht Unfinished:
OinFaveo Ungraceful:
Oinfayfeeli Unfaithful:
Oinfayfeelleo Unbelievable:
Oinflan Unroll:
Oinfulfahnfill Unmerciful:
Oingelmia Antartica:
Oingenjiggert Unsatisfied:
Oingenjiggery Unsatisfactory:
Oinglagst Unmarried:
Oinharb Unfair:
Oinheeskeo Unbreakable:
Oinherrayik Unimportant:
Oinjoykah Unhappy:
Oinkahganneo Unreasonable:
Oinkahgnahkatid Uneducated:
Oinkass Undress:
Oinkass Unless:
Oinkile Unlike:
Oinkintoe Unkind:
Oinkizmittal Unfortunate:
Oinklard Unpack:
Oinkobay Unsteady:
Oinkognahn Unknown:
Oinkonfewweo Undeniable:
OinLa’eeshi Unlucky:
Oinlantelloneo Unsuitable:
Oinlkarvon Unnatural:
Oinlokeb Unequal:
Oinluzireo Undesirable:
Oinmahprispt Unsophisticated:
Oinmot Unharm:
Oinmoyyel Unreal:
Oinmuet Unheard:
OinNefarunal Unintentional:
Oinnemitteo Unattainable:
Oinode Undo:
Oinpalloyt Undeserved:
Oinpalloyt Unworthy:
Oinpekketad Unexpected:
Oinpekketadly Unexpectedly:
Oinplejillt Unpleasant:
Oinponeetibell Unprofitable:
Oinponkeepent Unemployment:
Oinponkeet Unemployed:
Oinram Unsafe:
Oinrarnommeo Uncommon:
Oinremhelty Unhealthy:
Oinroforit Unforseen:
Oinrofyerreo Unforgettable:
Oinrovellt Unrestrained:
Oinroy Unjust:
Oinroykt Untidy:
Oinsagajent Unwise:
Oinsalj Unripe:
Oinsaykohg Unconscious:
Oinsaykohgnoss Unconsciousness:
Oinsekket Unlimited:
Oinsheppesht Unpublished:
Oinsiseejoes Unscrupulous:
Oinskeppidly Undoubtedly:
OinSnarook Unravel:
Oinsoothinneo Uncomfortable:
Oinstromah Unable:
Oinsulfish Unselfish:
Oinsvamateo Unfavorable:
Oint Bless:
Ointaveshill Unlawful:
Ointeel Until:
Ointrusteo Unreliable:
Oinurseol Unusual:
Oinverkitch Uncover:
Oinvikteessfill Unsuccessful:
Oinvyon Uneven:
Oinwoseetes Unnecessary:
Oinyaysi Uneasy:
Oinyaysinoss Uneasiness:
Ojin Expand:
Ojinnig Expanding:
Ojinshin Expansion:
Ojint Expanded:
Oleg Puddle:
Olfatek Alphabet
Olgiss Senior:
Olion Million:
Olter Elder:
Olterly Elderly:
Ombek: About: 
Onaysh Stable:
Onayshet Stabilize:
Onchexatay Diagnosis:
Onchexoe Diagnose:
Onee or Ony Any:
Onjerreef Sorrow:
Onperpotah Deliberate:
Onperpotahshin Deliberation:
Ooblee’et Hell:
Oolell Utter:
Oolelli Utterly:
Oomquay Venture:
Oor Or:
Oos Us:
Ooswah Lazy:
Oot Too:
Ootseorut Asparagus:
Oovlard Triumph:  
Oovlard Vanquish:
Opahgogen Opinion:
Opees Always:
Opjeon Surgeon:
Opjoreye Surgery:
Opkailsit Antonym:
Oppee Way:
Opren Attend:
Order: Bakkan
Ordex Decree:
Ordext Decreed:
Oreesh Extend:
Oreeshad Extended:
Oreeshif Extensive:
Oreeshin Extension:
Oreesht Extent:
Oreet Sight:
Orid Argue:
Orid Quarrel:
Oridant Argument:
Orin Asset:
Orit Eye:
Orit Look:
Orit See:
Oritain Optician:
Oritbron Eyebrow
Oritglen Eyeglass:
Oritkadmer Eyelid:
Oritser Observer:
Oritsfill Watchful:
Oritshin Vision:
Oritsiv Observe:
Oritsiv Watch:
Oritsmare Watchman:
Oritsnig Watching:
Orittashin Observation:
Orittoe Visible:
Oritual Visual:
Oritzee Eyesight:
Orm Nine:
Orm Show:
Ormhoss Theater:
Ormhossreol Theatrical:
Ormpojan VCR:
Ormth Ninth:
Ormti Ninety:
Ormtiath Ninetieth:
Orn Ear:
Ornty Early:
Oroe Ago
Ort Mouth:
Orts Glance:
Ortum Oral:
Orue View:
Oruekloid Viewpoint:
Orvast Orchard:
Orzohn Scholar:
Orzohnly Scholoarly:
Orzohnum Scholarship:
Oskug Exert:
Osqeen Exhaust:
Ostreodah Australia:
Otarn Glitter:
Ote To:
Otechelloe Tonight:
Otennarysh Together:
Otestoe Today:
Othella Avail:
Othelluffa Available:
Otoeloe Extinguish:
Ovi Egg:
Owf Debt:
Ownian Property:
Owonsnig Astonishing:
Owonstish Astonish:
Owonstout Astound:
Oxzinian Amphibian:
Oxzinioos Amphibious:
Oykachan Iodine:
Ozuk Blue:
Ozwex Obscure:
Ozwexnig Obscuring:
Ozwext Obscured:
Ozwexxity Obscurity:
P
Pab Leg:
Paddiln Cushion:
Pafter Prize:
Pahki Below:
Pahkor Under:
Pahkordudz Underwear:
Pahkorgoy Undergo:
Pahkorklake Undertake:
Pahkorklakeer Undertaker:
Pahkorsolispeet Underestimate:
Pahkorsqayg Underline:
Pahlawd Ocean:
Pahmble Grumble:
Pahna Peanut:
Pahquamas Pajamas:
Pahson Groan:
Pajodikkashin Publication:
Pajoen Person:
Pajoeni Personal:
Pajoes People Tribe
Pajokize Publicize:
Pajoselnt Publish:
Pajoselntneer Publisher:
Pajoselntnig Publishing
Pajotik Public:
Pajotisy Publicity:
Pakk Truck:
Paldaree Continue:
Paldareeli Perpetual:
Palloy Deserve:
Palloynig Deserving:
Palloyt Deserved:
Pamue Value:
Pamuteo Valuable:
Pamutous Precious:
Pandulay Constipation:
Panio Ratio:
Panj Clap:
pankavi Agony:
Panpish Angle:
Panpishar Angular:
Panplot Subject:
Panplotate Subjugate:
Panzoor Tank:
Paptroon Chapter:
Paranda Porch:
Parbekshin Precaution:
Parbrezial Superficial:
Parbrezion Supervise:
Parbrezior Superior:
Parbreziority Superiority:
Parbreziyous Superfluous:
Parbullsion Precision:
Parbullz Precise:
Parbullzly Precisely:
Parch Card:
Parchi Pursue:
Pardial Compile:
Pardialashin Compilation:
Pardialer Compiler:
Pardialin Computation:
Pardialum Computer:
Parfar Prefer:
Parfarose Preference:
Pargess Presume:
Pargodatery Preliminary:
Parjoanus Prejudice:
Parkex Pretend:
Parkohg Conscience:
Parl Reign:
Parlayton Interpret:
Parlaytor Interpreter:
Parlog Preface:
Parmooff Precede:
Parnj Pray:
Parnjer Prayer:
Parpon Prepay:
Parqwahvolon Premeditate:
Parran Parent:
Parrok Year:
Parrokli Yearly:
Parskrib Prescribe:
Parskribshin Prescription:
Parth Birth:
Parthestoe Birthday:
Parthon Snake:
Partillythum Superstition:
Parvag Deprive:
Parvagwahshin  Deprivation:
Parvious Previous:
Paryan Excuse:
Paryertide Predicament:
Pasdipian Official:
Pashken Mushroom:
Pasmin Priest:
Passeen Vein:
Payona Compensate:
Payonashin Compensation:
Paypoon Infant:
Paypoonzi Infancy:
Paysk Trot:
Payt Folk:
payvult Asphalt:
Paze Sip:
Peesh Stride:
Peglont Prospect:
Pekket Expect:
Pekketad Expected:
Pekketnig Expecting:
Pekketoshin Expectation:
Pekqern Secret:
Pelkeb Expel:
Pelkebshin Expulsion:
Pellagroy Injury:
Pellegrin Injurious:
Pellegrinolly Immediately:
Pellegrinot Immediate:
Pellegrinot Institute:
Pellegrins Injuries:
Pellooch Beach:
Pellooch Shore:
Pellshin Function:
Pelovium Envelope:
Pelqia Exile:
Pelqianig Exiling:
Pelqiat Exiled:
Penchid Solid:
Penchka Sword:
Penchkashiff Swordfish:
Penoshay Gallery:
Peprin Anise:
Peraltah Irritate:
Perbluss Superb:
Perbu: Stung
Perdiddolay Treachery:
Perduljans Tolerance:
Perduljanx Tolerate:
Perduljent Tolerant:
Perduljible Tolerable:
Perfiddoleth Treacherous:
Perloom Pepper:
Permars Consent:
Permarsnig Consenting:
Permarst Consented:
Permeesk Grant:
Permeez Allow:
Permerary Temorary:
Permt Tempt:
Permtid Tempted:
Permtishin Temptation:
Permutat Temperate:
Permute Temper:
Permutio Temerature:
Pern Lamb:
Perrage Blockade:
Perreejnig Surrounding:
Perrije Surround:
Perrijeed Surrounded:
Perron Block:
Perst Sweat:
Perth Born:
Pertrest Sweater:
Pesqahlay Sensual:
Pesqahtallity Sentuality:
Petrogoe Bicycle:
Petrome Plastic:
Pext Next:
Piat Pupil:
Pid Wreck:
Piddage Wreckage:
Piff Pick:
Pikkoesqiff Photograph:
Pilch Slip:
Pilcherry Slippery:
pinj Tap:
Pinspori Amplify:
Pints Once:
Pipweer Plumber:
Pipwix (as in lines) Plum:
Pipwixnig Pluming:
Pirthdepswah Obstetrician:
Pisheer Shrill:
Pishkin Gentle:
Pishkinmare Gentleman:
Pitgramama Avocado:
Pith, (on Trees), (Dog Sound) Bark
Pittart Sour:
Plah Tear:
plahj Pound: (add is for plural)
Plahquar Water:
Plahquarbloomun Watercolor:
Plahquardrope Waterfall:
Plahquarsoverrit Waterproof:
Plahquarstarnell Watermelon:
Plaj Nut:
Plaje Slave:
Plajori Slavery:
Plamboni Atrophy:
Plampish Apricot:
Planch Stem:
Plap Gulp:
Plap Lip:
Plapprok Lipstick:
Plaqahnate Arrogate:
Plaquarium Aquarium:
Plaquarswinji Duck:
Plaskoa Plasma:
Playfon Concert:
Playsheer Bliss:
Playett: Vigina
Pleesh Sheep:
Pleesheer Shepherd:
Pleezont Appease:
Plejat Avert:
Plejat Curtail:
Pleje or Platoe Please:
Plejillt Pleasant:
Plejure Pleasure:
Pleogeln Teenager:
Plertan Dozen:
Plessahmin Origan:
Plessahminnal Original:
Plessahminnality Originality:
Plevor Wander:
Pliddium Statium:
Plik Wink:
Plimp Stamp:
Plin Plow:
Plin Till:
Plit (As in evade) Duck
Plohd Snow:
Plohdnig Snowing:
Plohdshard Snowstorm:
Plomaji Apology:
Plomee Degree:
Ploom Flower:
Plote Vote:
Plowsqish Trample:
Plozlik Slope:
Plubum Tin:
Plugase Visit:
Plugasor Visitor:
Plumeesh Challenge:
Plunj Cork:
Plunk Board:
Plunknighoss Boardinghouse:
Plur One:
Plurdexlah Eighteen:
Plurebbin Fifteen:
Plurebbinth Fifteenth:
Plurfin Seventeen:
Plurfinth Seventeenth:
Plurorm Nineteen:
Plurormth Nineteenth:
Plurplur Eleven:
Plurplurth Eleventh:
Plurtan Twelve:
Plurtannith Twelfth:
Plurth First:
Plurvarro Sixteen:
Plurvarroth Sixteenth:
Plurzan Ten:
Plurzanth Tenth:
Plurzanzan Hundred:
Plurzanzanth Hundredth:
Pluve Shove:
Pluvel Shovel:
Poahzi Desk:
Poch Chop:
Pochnig Chopping:
Pocht Chopped:
Podoe Baboon:
Poej Play:
Poejyith Playground:
Poemet Between:
pog Beg:
Poggad Plead:
Pojoe Game:
Polad Escort:
Poleer Rebel:
Polinty Mutiny:
Polleeron Rebellion:
Pollem Thumb:
 Polt (Let me state) State
Polteent Statement:
pomerial Associate:
Pomerialtan Association:
Pon Dollar:
Ponargi Salary:
Ponell: Apple
Poneet Profit:
Poneetibell Profitable:
Pongets Wages:
Ponkee Employ:
Ponkeejor Employer:
Ponkeepent Employment:
Ponkeetan Employee:
Ponkreet Wallet:
Ponnell Sale:
Ponnelsmare Salesman:
Ponomoy Economy:
Ponplin Finance:
Ponplinill Financial:
Ponqit Hire:
Ponsheer Cashier:
Pont Owe:
Pontad Owed:
Pontil Own:
Pontileer Owner:
Ponufer Bank:
Poonj Bread:
Poprich Champagne:
Popswazin Illusion:
Popzel Birch
Poqell Routine:
Port Rent:
Pory: Swell, Inflammation
Porvam Confirm:
Posat Lard:
Posmall Small:
Posmallorit Microscope:
Posmallorn Microphone:
Poss Skip:
Posserj Ugly:
Povvern Lack:
Powatma Angel:
Powl Beat:
Powse Force:
Powwit Hammer:
Poyhune Garbage:
Poyhune Trash:
Poynd Spend:
Poyteer Platform:
Prage Plum:
Prahn Lung:
Prahnallim Miracle:
prayk Join:
Prayk Unite:
Prayki Unify:
Praykiddim Universal:
Praykiddis Universe:
Praykiddium University:
Praykiffrn Uniform:
Praykifornity Uniformity:
Praykion Union:
Praykt Provountis United States
Prayt Unit:
Predth Wide:
Preet Act:
Preeteer Actor:
Preeteeris Actress:
Preetiol Actual:
Preetiolly Actually
Preetive Active:
Preetively Actively:
Preetoyn Action:
Prelnokt Omelet:
Prelst West:
Prelstern Western:
Prelstjorvil Westward:
Preswin Current:
Prike Raise:
Prill Wall:
Prinabi Aspirin:
Prip Lean:
Pripe Stripe:
Pripersvetlin Zebra:
Prisen Convict:
Prisenshin Conviction:
Prismithin Inspire:
Prisp Pure:
Prispial Purity:
Prit Fix:
Pritzen Mend:
Prodaxxan Merchandise:
Proddeer Merchant:
Proesk Cost:
Profamatoor Agraculture:
Prohk Rap:
Proib Whim:
Projek Bullet:
Proklen Mail:
Pronket Ticket:
Proom Aunt:
Prosh Gate:
Prostimand Madam:
Prot Spot:
Provam Verify:
Provammishin Verification:
Provenkoddium Simutaneous:
Provern Concept:
Provounti Province:
Provounti State:
Prukan Thrift:
Prukanni Thrifty:
Pruse Berry:
Pryzalog Exhibit:
Pryzalogshin Exhibition:
Ptom Tall:
Puff Puff:
Pujal Imp:
Pulburran Cranberry:
Pulch Nerve:
Pulchan Nervous:
Pulchis Nerves:
Puldowkah Gravity:
Pulz Throb:
Pum Dust:
Pummil: Abuse:
Pummilix: Abusive:
Pun Bloom:
Pund Fund:
pund Hint:
Pundallota Fundamental:
Pungarp Uphold:
Punjabi Gypsy:
Punjerit Animate:
Punparl Animal:
Punparlistry Zoology:
Punparlunt Zoo:
Puntanor Appendix:
Puntanoratis Appendicitis:
Puphoss Tent:
Purrah Candy:
Purunatek Apostasy:
Purzig Thirteen:
Purziggith Thirteenth:
Puteen Bridge:
Pyrom Paper:
Pythian Indicate:
Pythiashin Indication:
Q
Qadenttin Permanent:
Qahdobah Mexico:
Qame Heir:
Qarsogate Saturate:
Qarsogayshin Saturation:
Qayimon Tentative:
Qaysket Kitchen:
Qeed Seed:
Qerm Sum:
Qermmarri Summary:
Qermpun Sum-up:
Qibbritmesoe Wholesome:
Qibbritpon Wholesale:
Qibbritti Wholly:
Qibrit Whole:
Qier Weigh:
Qiert Weight:
Qimdarleo Sanitary:
Qimkort Parrot:
Qink Stroke:
Qobe Proverb:
Qodeesh Hello:
Qomeo Nickname:
Qorbaraid Skull:
Qown Mask:
Quade Tide:
Quafe Sweet:
Quagmiriffon Annihilation:
Quagmiroetin Annihilate:
Quagswam Swamp:
Quahdobian Mexican:
Quahn Drown:
Quahteet Fragment:
Quasum Ample:
Quate: Stake
Quaverrvid Solution:
Quayver Liquor:
Queeg Pear:
Quevan Schedule:
Quhdachin Attention:
Quhellestoe Thursday:
Quib (as in Ducks Bill) Bill
Quibinarily Ordinarily:
Quibinary Ordinary:
Quilkoda Toquilla:
Quim Face:
Quimp Queer:
Quinfoelts: Biscuits
Quinjoe Guitar:
Quinlex Fiction:
Quinlexous Fictitious:
Quinniatyl Semicolon:
Quinnt Stand:
Quintapum Minimum:
Quip Verse:
Quippar Tremor:
Quipshin Version:
Qulaynj Strange:
Qulaynjeer Stranger:
Qumbikkular Particular:
Qumbikkularly Particularly:
Qumbikkulate Particulate:
Quohgpruse Raspberry:
Quohgpruses Raspberries:
Quohk Dwell:
Quone Near:
Quonely Nearly:
Quorn Oak:
Qur Fur:
Qurvans Furnace:
Qutelmoe Atrocity:
Quwahtel Achieve: 
Quwahtelpent Achievement: 
Quwip Grand:
Qwasp Trap:
Qwhy Rye:
Qwumka Vodka:
Qwussum Vacuum:
Qwussumklenther VacuumCleaner:
R
Rabbarraid Forehead:
Rabborit Foresight:
Rabbtin Captain:
Rablor Labor:
Rablor Work:
Rablorin Laborer:
Rablorin Worker:
Rablorium Laboratory:
Rablors Works:
Raggi Arab:
Raggia Arabia:
Ragibek Arabic:
Ragole Erase:
Ragoler Eraser:
Ragolnig Erasing:
Ragolt Erased:
Rahban Turban:
Rahklin Enjoy:
Rahklinpint Enjoyment:
Rahpao Opera:
Rahperta Desperate:
Rahven Timber:
Rak Knock:
Ram Safe:
Rame Roam:
Rampolt Welfare:
Rampst Glasp:
Ramti Safety:
Rang Noise:
Rangy Noisy:
Ransoll Solve:
Rarnom Common:
Rave Circus:
Rawen Lion:
Raybon Master:
Raybonjik Masterpiece:
Rayilf Olive:
Raykoe Edge:
Razill Scale:
Reallod World:
Reallodli Worldly:
Reb Rogue:
Rebskont Sample:
Rebvill Rupture:
Redj Verge:
Reen Height:
Reffio Studio:
Reffor Offer:
Refforse Office:
Rehut Perceive:
Rekahg Memory:
Rekahgeeble Memorable:
Rekahgize Memorize:
Rekahglanse Remembrance:
Rekt Coarse:
Relk Shrink:
Reln Peace:
Relndommize Tranquilize:
Relndommizor Tranquilizer:
Relndomyzie Tranquility:
Relnfil Peaceful:
Relnfil Tranquill:
Rem Cure:
Rem Remedy:
Rem Sap:
Remaport Drugstore:
Remat Arraign:
Remhellon Health:
Remhelt Heal:
Remheltad Healed:
Remhelts Heals:
Remhelty Healthy:
Remm Find:
Remtatum Hospital:
Renilloot Gratitude:
Repree Anew:
Requah Acquire:
Resepmittal Susceptible:
Resepmittiality Susceptibility:
Respue Pause:
Retilt Expert:
Retoln Dispute:
Retsent Talent:
Rettens Prudence:
Rettent Prudent:
ReUng Hunger:
ReUngi Hungary:
ReUnguish Starve:
Reyoot Pot:
Rezzar Music:
Rezzarrial Musical:
Rezzarroy Musician:
Rhyern Poem:
Rhyernik Poetic:
Rhyert Poet:
Rhyertee Poetry:
Ribbit Frog:
Ridish: Absurd:
Ridisholy: Absurdity:
Riessurs Series:
Rifin File:
Rige Sore:
Riggello Decency:
Riggelt Decent:
Rij Spine:
Rikah Rice:
Rike Scar:
Rikemp Scarlet:
Riketch Wrench:
Rikorshep Reprimand:
Rikort Correct:
Rilt Salt:
Rilted Salted:
Riltnig Salting:
Rim Bring:
Rimmortayo Vulnerable:
Rimp Aid:
Rishma Perish:
Rishmadol Perishable:
Rishmannig Perishing:
Ritru Party:
Rivletch Nail:
Rixi Taxi:
Ro’Efe Relief:
Ro’Eze Releive:
Ro’Udak Regard:
Roagray Reassure:
Roar Roar:
Robak Reverse:
Roban Carry:
Robbi Blush:
Robeal Reveal:
Robealishin Revelation:
Roblahnj Research:
Rodemoepnig Remodeling:
Rodemope Remodel:
Roditrahs Residence:
Roditraht Resident:
Rodraff Revise:
Roebay Defy:
Roed Begin:
Roedar Beginner:
Roeddnig Beginning:
Roenerjee Internal:
Roenjage Moreover
Roepajosen International:
Rofe For:
Rofelli Revive:
Rofinj Retire:
Rofkesa Forsake:
Roflakkoe Forever:
Roflam Resent:
Roflamment Resentment:
Roforn Reform:
Rofrain Refrain:
Rog Pole:
Rogeenj Repent:
Rogimmiat Reliable:
Rogimmiatti Reliability:
Rogipe Refund:
Roglasshin Reflection:
Roglast Reflect:
Rogoft Reward:
Rogor Vigor:
Rograp Repress:
Rograpshin Repression:
Rograpsive Represive:
Rogsven Vigorous:
Rohe Role:
Roholell Recall:
Rohort Respect:
Rohortum Venerate:
Rohortumma Veneration:
Roht Bad:
Rojinn Repeat:
Rojinnadly Repeatedly:
Rojinnashin Repetition:
Rojoykah Rejoice:
Rokahg Remind:
Rokahg Think:
Rokahglenshin Recollection:
Rokahglent Recollect:
Rokahglent Remember:
Rokahgnashin Recognition:
Rokahgnize Recognize:
Rokahgnor Reminder:
Rokay Region:
Roke Race:
Rokiam Firmament:
Rokilen Resemble:
Roklantshin Reception:
Roklerten Register:
Rokopun Reconcile:
Rokopunshin Reconciliation:
Rolleas: Measles
Rololichin Reputation:
Rolunk Record:
Romannuse Reproduce:
Rombet Metal:
Rombettik Metallic:
Rombetturgy Metallurgy:
Romeed Require:
Romeedent Requirement:
Romelorm Recommend:
Romelorshin Recommendation:
Romeo Rename:
Romerkeje Regret:
Romm Found:
Rommashin Foundation:
Rommer Founder:
Romod Remove:
Romog Avenge:
Romog Screen:
Romont Recite:
Rone More:
Ronedri Recycle:
Ronk Task:
Ronogor Reinforce:
Ronote Remark:
Ronotibi Remarkable:
Ronth South:
Rontherbun Tropical:
Ronthern Southern:
Roog Beer:
Rooghoss Saloon:
Rooloe Jam:
Roolum Jelly:  
Roop Lead:
Rooper Leader:
Roopersheef Leadership:
Ropaws Recess:
Ropojik Republic:
Ropol Tail:
Ropon Repay:
Roponnett Repayment:
Ropont Repaid:
Roposhin Reduction:
Roposs Reduce:
Ropowl Rhythm:
Ropraze Receive:
Roprazer Receiver:
Ropreeshin Reaction:
Ropreet React:
Ropreet Respond:
Roprit Repair:
Roqint Request:
Rosek Restrict:
Rosekshin Restriction:
Roshum Refresh:
Roshum Renew:
Roshument Refreshment:
Roshumil Renewal:
Rosonarsh Remorse:
Rote Spin:
Rotelm Reply:
Rothars Replace:
Rotharsent Replacement:
Rotillishin Revolution:
Rotillishinary Revolutionary:
Rotilt Revolt:
Rotown Result:
Rotroes Restore:
Rotroeshin Restoration:
Rotroest Restored:
Rottay Decay:
Rount Ball:
Rount Circle:
Rovail Emerge:
Rovailasy Emergency:
Rovell Restrain:
Rovelnt Restraint:
Roverkitch Recover:
Roverkitchy Recovery:
Rovlist Recent:
Rovlistly Recently:
Rovlit Relate:
Rovlitshin Relation:
Rovlitshinnea Relationship:
Rovlittiff Relative:
Rowint Report:
Rowinteer Reporter:
Rowlb Globe:
Roxe Hard:
Roxely Hardly: 
Roxen Harden:
Roxnoss Hardness:
Roy Hunt:
Roy Just:
Royant Relent:
Roydinch Render:
Royk Keep:
Royknig Keeping:
Royks Keeps:
Roykt Kept:
Roytar Hunter:
Roytarnig Hunting:
Roytase Justice:
Roytaskashin Justification:
Roytaskay Justify:
Rozarria Russia:
Rozarrian Russian:
Rozarrian Soviet:
Ru’ert Review:
Rubbon April:
Rubeen Slang:
Rugarn Prepare:
Rugo Remote:
Rugoben Isolate:
Rugobeon European:
Ruju Orange:
Ruk Awl:
Rukay Obtain:
Rukaynig Obtaining:
Rukays Obtains:
Rukayt Obtained:
Ruksol Crooked:
Rulan Cousin:
Rumosavoise Delirious:
Rumosavom Delirium:
Rundell Farewell:
Rundimmosia Miscellaneous:
Rune Fare:
Rungairon Gasoline:
Runse Pierce:
Rup Climb:
Rupri Syrup:
Rusarn Rescue:
Ruskiff Kremlin:
Rut Root:
Rutanel Ethical:
Rutans Ethics:
Rutgit Tigar:
Ruvious Victorious:
Ruvory Victory:
Rux Gum:
Ruzi Pink:
Ryofe Attack:
S
Saben: Accuse: 
Sabenorum: Accusation:
Saboe Decrease:
Sadair Despair:
Saffeel Herring:
Sagajent Wise:
Sagajum Wisdom:
Saggid Solid:
Saggidity Solidity:
Saggiojji Solitary:
Saht Soak:
Saje Hand:
Sajegach Handbag:
Sajel Handle:
Sajemannute Handcraft:
Sajemmut Glove:
SajeSkribbnig Handwriting:
SajeSkribon Handwritten:
Sajey Handy:
Salj Ripe:
Saljen Ripen:
Saljennig Ripening:
Saltzin (music) Organ
Saltzinafinon Origination:
Saltzinose Organize:
Saltzinost Organized:
  Salvanego Peninsula:
Salwin Romance:
Salwinnik Romantic:
Sammassoor Wretched:
Sandrafanas Analysis:
Sandrafzi Analyse:
Sandrin Dessert:
Sannewj Young:
Sannewjast Yongest:
Sannewth Youth:
Sannewwar Younger:
Sans Prose:
Sanzi Busy: 
Sanziben Business:
Sanziben Commerce:
Sanzibenmare Businessman:
Sanzitelm Commercial:
Sarjee: Reflex
Sargeeloin: Reflexologist
Sarm Germ:
Sassoor Caress:
Sati Oats:
Sawfet Plate:
Sawikkio Adequate:
